postal_code,latitude,longitude,place_name,region_1_en,region_2_lc,region_3_lc,country_lc,country_en,country_code,timezone,utc
7621,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7622,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7623,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7624,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7625,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7626,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7627,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7628,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7629,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7630,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7631,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7632,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7633,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7634,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
