postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_name,country_code,timezone,utc
23708,-1.96302,35.401005,Ngorongoro,Arusha,Arusha,Ngorongoro,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
57610,-11.2576172,37.3366919,Tunduru,Ruvuma,Ruvuma,Tunduru,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
61603,-8.3517593,38.6422919,Rufiji,Pwani,Pwani,Rufiji,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
35108,-1.321132,31.820043,Bukoba Urban,Kagera,Kagera,Bukoba Urban,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
41804,-5.127595,35.980205,Kondoa,Dodoma,Dodoma,Kondoa,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
47112,-4.9113202,29.6858047,Kigoma Urban,Kigoma,Kigoma,Kigoma Urban,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
16112,-6.7277963,39.1526043,Kinondoni,Dar es Salaam,Dar es Salaam,Kinondoni,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
39315,-3.349699,34.048096,Maswa,Shinyanga,Shinyanga,Maswa,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
55203,-8.3309547,31.8564199,Sumbawanga Rural,Rukwa,Rukwa,Sumbawanga Rural,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
55419,-5.3859,32.7252742,Sikonge,Tabora,Tabora,Sikonge,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
55315,-7.673161,31.361043,Nkasi,Rukwa,Rukwa,Nkasi,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
57414,-10.8437423,34.8944349,Mbinga,Ruvuma,Ruvuma,Mbinga,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
35316,-1.15794,31.343858,Bukoba Rural,Kagera,Kagera,Bukoba Rural,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
