postal_code,latitude,longitude,region_1,region_1_en,region_2,region_2_en,region_3,region_3_en,country,country_en,country_code,timezone,utc
19046,49.8675,31.4336,Черкаська область,Cherkasy Oblast,Черкаський район,,Бобрицька сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19047,50.7957,31.8479,Чернігівська область,Chernihiv Oblast,Ніжинський район,,Макіївська сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19048,49.7524,31.3147,Черкаська область,Cherkasy Oblast,Черкаський район,,Бобрицька сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19049,51.7194,32.9758,Чернігівська область,Chernihiv Oblast,Новгород-Сіверський район,,Понорницька селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19050,50.2899,29.8952,Київська область,Kiev Oblast,Фастівський район,,Бишівська сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19051,50.2603,31.5037,Київська область,Kiev Oblast,Бориспільський район,,Студениківська сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19052,49.5675,31.2643,Черкаська область,Cherkasy Oblast,Черкаський район,,Степанецька сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19053,50.3837,29.3047,Житомирська область,Zhytomyr Oblast,Житомирський район,,Радомишльська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19054,51.6108,32.0107,Чернігівська область,Chernihiv Oblast,Корюківський район,,Менська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19055,50.2603,31.5037,Київська область,Kiev Oblast,Бориспільський район,,Студениківська сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19056,50.4848,34.9657,Сумська область,Sumy Oblast,Охтирський район,,Тростянецька міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19057,50.2603,31.5037,Київська область,Kiev Oblast,Бориспільський район,,Студениківська сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19058,49.2253,31.5818,Черкаська область,Cherkasy Oblast,Черкаський район,,Городищенська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19059,50.2603,31.5037,Київська область,Kiev Oblast,Бориспільський район,,Студениківська сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19060,49.3646,35.5396,Харківська область,Kharkiv Oblast,Красноградський район,,Наталинська сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19061,49.7767,32.5725,Полтавська область,Poltava Oblast,Лубенський район,,Оржицька селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19062,49.6585,31.3523,Черкаська область,Cherkasy Oblast,Черкаський район,,Степанецька сільська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19063,49.2361,33.1875,Полтавська область,Poltava Oblast,Кременчуцький район,,Градизька селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19064,49.7767,32.5725,Полтавська область,Poltava Oblast,Лубенський район,,Оржицька селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19065,49.5909,32.4719,Черкаська область,Cherkasy Oblast,Золотоніський район,,Чорнобаївська селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19066,49.7767,32.5725,Полтавська область,Poltava Oblast,Лубенський район,,Оржицька селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19067,51.0335,30.311,Київська область,Kiev Oblast,Вишгородський район,,Димерська селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19068,49.7767,32.5725,Полтавська область,Poltava Oblast,Лубенський район,,Оржицька селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19069,49.7767,32.5725,Полтавська область,Poltava Oblast,Лубенський район,,Оржицька селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19101,48.9909,29.8047,Черкаська область,Cherkasy Oblast,Уманський район,,Монастирищенська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19110,49.1612,29.7526,Черкаська область,Cherkasy Oblast,Уманський район,,Монастирищенська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19111,49.1588,30.1538,Черкаська область,Cherkasy Oblast,Уманський район,,Жашківська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19112,49.1588,30.1538,Черкаська область,Cherkasy Oblast,Уманський район,,Жашківська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19113,49.1588,30.1538,Черкаська область,Cherkasy Oblast,Уманський район,,Жашківська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19114,49.0791,29.8473,Черкаська область,Cherkasy Oblast,Уманський район,,Монастирищенська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19117,48.6381,28.5599,Вінницька область,Vinnytsia Oblast,Тульчинський район,,Томашпільська селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19118,49.1588,30.1538,Черкаська область,Cherkasy Oblast,Уманський район,,Жашківська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19119,49.7567,32.4556,Черкаська область,Cherkasy Oblast,Золотоніський район,,Чорнобаївська селищна громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19120,49.2857,29.6773,Київська область,Kiev Oblast,Білоцерківський район,,Тетіївська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19121,50.0385,29.13,Житомирська область,Zhytomyr Oblast,Бердичівський район,,Андрушівська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19122,49.2857,29.6773,Київська область,Kiev Oblast,Білоцерківський район,,Тетіївська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19123,49.0761,29.9561,Черкаська область,Cherkasy Oblast,Уманський район,,Монастирищенська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
19124,49.2857,29.6773,Київська область,Kiev Oblast,Білоцерківський район,,Тетіївська міська громада,,Україна,Ukraine,UA,Europe/Simferopol,UTC+3.0
