postal_code,latitude,longitude,region_1_en,region_2_en,region_3_en,country_code,country_en,timezone,utc
91035,35.2294,-5.2368,Kaa Asrass,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91036,35.0839,-5.0052,Tassift,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91042,35.1781,-5.3216,Derdera,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91043,35.1781,-5.3216,Had Rhdir Krouch,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91044,35.2516,-5.1825,Talembote,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91045,35.1045,-5.4608,Tanacob,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91046,35.1781,-5.3216,Tlata Assifane,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91052,34.9983,-4.893,Bab Berret,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91072,34.9363,-4.7794,Tamorote,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91073,34.9363,-4.7794,Iouane,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91102,35.1064,-4.9389,Bni Ahmed,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91122,35.134,-5.3659,El Melha,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91123,35.134,-5.3659,Bni Ahmed Gharbia,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91124,35.134,-5.3659,Mansoura,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91152,35.0839,-5.0052,Mokrisset,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91153,35.2055,-4.6652,Jebha,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91172,35.1312,-4.6553,Bni Smih,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91173,35.2425,-4.7925,Amtar,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91174,35.0199,-4.5181,Ouaouzgane,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
91202,35.0839,-5.0052,Zoumi,Tanger-Tetouan-Al Hoceima,Chefchaouen Province,MA,Morocco,Africa/Casablanca,UTC+1.0
94022,35.7132,-5.6967,Bahraouiyne Tanja,Tanger-Tetouan-Al Hoceima,Fahs-Anjra,MA,Morocco,Africa/Casablanca,UTC+1.0
94023,35.7132,-5.6967,Bahriyne El Aouama,Tanger-Tetouan-Al Hoceima,Fahs-Anjra,MA,Morocco,Africa/Casablanca,UTC+1.0
94025,35.7132,-5.6967,El Borch,Tanger-Tetouan-Al Hoceima,Fahs-Anjra,MA,Morocco,Africa/Casablanca,UTC+1.0
94026,35.7132,-5.6967,Zoco Jemis De Anyera,Tanger-Tetouan-Al Hoceima,Fahs-Anjra,MA,Morocco,Africa/Casablanca,UTC+1.0
94031,35.6548,-5.6836,Hakkama,Tanger-Tetouan-Al Hoceima,Fahs-Anjra,MA,Morocco,Africa/Casablanca,UTC+1.0
94053,35.737,-5.6314,Melloussa,Tanger-Tetouan-Al Hoceima,Fahs-Anjra,MA,Morocco,Africa/Casablanca,UTC+1.0
94122,35.7877,-5.4709,Tarhremt,Tanger-Tetouan-Al Hoceima,Fahs-Anjra,MA,Morocco,Africa/Casablanca,UTC+1.0
94152,35.8421,-5.5543,Ksar Sghir,Tanger-Tetouan-Al Hoceima,Fahs-Anjra,MA,Morocco,Africa/Casablanca,UTC+1.0
92000,35.1932,-6.1557,Larache,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92002,35.1932,-6.1557,Sebt Bni Garfet,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92022,35.3868,-5.8883,Arbaa Ayacha,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92023,35.3035,-5.7799,Sidi Ali,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92024,35.2201,-5.6715,Zaaroura,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92052,35.2117,-5.9437,Al Aouamra,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92072,35.0468,-6.0592,Zouada,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92102,35.2534,-6.0796,Khemis Sahel,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92150,35.0004,-5.9038,Ksar El Kebir,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92172,35.1269,-5.9917,Mecherah,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92173,35.1269,-5.9917,Souk Tolba,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92202,35.0327,-5.7738,Tatoufet,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
92252,35.0327,-5.7738,Tlata Rissana,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
