postal_code,latitude,longitude,region_1_en,region_2_lc,region_2_en,country_lc,country_en,country_code,timezone,utc
510079,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510080,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510081,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510082,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510083,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510084,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510085,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510086,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510087,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510088,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510089,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510090,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510093,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510094,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510095,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510096,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510097,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510101,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510102,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510103,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510104,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510105,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510106,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510109,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510110,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510111,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510112,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510113,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510114,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510115,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510116,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510117,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510118,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510119,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510120,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510121,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510122,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510124,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510125,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510126,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510127,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510128,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510129,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510134,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510135,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510136,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510137,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510138,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
