country_lc,country_en,country_code,postal_code,region_1_lc,region_1_en,region_2_lc,region_2_en,timezone,utc,latitude,longitude
عُمان,Oman,OM,285943,جنوب الشرقية,Ash Sharqiyah,الكامل والوافي,Al Kamil Wa Al Wafi,Asia/Muscat,UTC+4.0,22.37896,59.11457
عُمان,Oman,OM,285944,ظفار,Dhofar,ظفار,Shalim Wa Juzor Al Hallaniyat,Asia/Muscat,UTC+4.0,17.48333,54.55
عُمان,Oman,OM,285945,مسندم,Musandam,خصب,Khasab,Asia/Muscat,UTC+4.0,26.24719,56.46258
عُمان,Oman,OM,285946,ظفار,Dhofar,ثمريت,Thumrait,Asia/Muscat,UTC+4.0,18.49435,53.70094
عُمان,Oman,OM,285947,البريمي,Al Buraymi,البريمي,Al Buraymi,Asia/Muscat,UTC+4.0,23.36356,55.61861
عُمان,Oman,OM,285948,الداخلية,Al Dakhiliyah,ادم,Adam,Asia/Muscat,UTC+4.0,22.10068,57.77336
عُمان,Oman,OM,285949,البريمي,Al Buraymi,محضة,Mahdah,Asia/Muscat,UTC+4.0,24.526,56.03665
عُمان,Oman,OM,285950,البريمي,Al Buraymi,البريمي,Al Buraymi,Asia/Muscat,UTC+4.0,23.88333,55.53333
عُمان,Oman,OM,285951,الظاهرة,Adh Dhahirah,عبرى,Ibri,Asia/Muscat,UTC+4.0,23.22889,56.58242
عُمان,Oman,OM,285952,جنوب الشرقية,Ash Sharqiyah,مصيرة,Masirah,Asia/Muscat,UTC+4.0,20.51694,58.96
عُمان,Oman,OM,285953,مسقط,Muscat,مطرح,Mutrah,Asia/Muscat,UTC+4.0,23.60382,58.51358
عُمان,Oman,OM,285954,ظفار,Dhofar,ثمريت,Thumrait,Asia/Muscat,UTC+4.0,17.28389,53.28027
عُمان,Oman,OM,285955,شمال الباطنة,Al Batinah South,الرستاق,Ar Rustaq,Asia/Muscat,UTC+4.0,23.44912,57.56965
عُمان,Oman,OM,285956,الداخلية,Al Dakhiliyah,سمائل,Samail,Asia/Muscat,UTC+4.0,23.10486,57.83124
عُمان,Oman,OM,285957,شمال الباطنة,Al Batinah South,المصنعة,Masnaah,Asia/Muscat,UTC+4.0,23.80921,57.55092
عُمان,Oman,OM,285958,شمال الباطنة,Al Batinah South,المصنعة,Masnaah,Asia/Muscat,UTC+4.0,23.80746,57.57087
عُمان,Oman,OM,285959,جنوب الشرقية,Ash Sharqiyah,جعلان بني بوع,Jalan Bani Bu Ali,Asia/Muscat,UTC+4.0,22.36639,59.82222
عُمان,Oman,OM,285960,مسقط,Muscat,مطرح,Mutrah,Asia/Muscat,UTC+4.0,23.61795,58.47654
عُمان,Oman,OM,285961,الظاهرة,Adh Dhahirah,عبرى,Ibri,Asia/Muscat,UTC+4.0,23.47777,56.55139
عُمان,Oman,OM,285962,شمال الباطنة,Al Batinah South,الرستاق,Ar Rustaq,Asia/Muscat,UTC+4.0,23.47442,57.44085
عُمان,Oman,OM,285963,جنوب الباطنة,Al Batinah North,شناص,Shinas,Asia/Muscat,UTC+4.0,24.865,56.3225
عُمان,Oman,OM,285964,الظاهرة,Adh Dhahirah,عبرى,Ibri,Asia/Muscat,UTC+4.0,22.83715,56.59655
