postcode,x,y,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
43000,45.8658,16.9764,Orovac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,46.0372,16.82,Sredice Gornje,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9,16.9,Grginac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,46.0256,16.8725,Gornje Zdelice,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8417,16.8558,Galovac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9447,16.735,Rovišće,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Puričani,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.7222,16.8928,Ruškovac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9304,16.8872,Letičani,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.7383,16.8303,Berek,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Stanići,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9356,16.9342,Veliko Trojstvo,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Žabjak,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Visovi,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Tvrda Reka,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Stari Skucani,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Stančići,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Srijedska,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Paulovac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Gornje Rovišće,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Lalići,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,46.0464,16.8692,Donji Mosti,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,46.0167,16.8833,Babotok,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9056,17.0211,Šandrovac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8667,16.7167,Breza,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Zvijerci,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.7667,16.7833,Križic,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8167,16.8333,Kolarevo Selo,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8483,16.9059,Kokinac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,46.0472,16.7675,Križ Gornji,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9833,16.95,Kegljevac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8525,16.9314,Patkovac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Mala Ciglena,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9333,16.9167,Martinac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Prokljuvani,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8284,16.811,Paljevine,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.7789,16.8119,Ivanska,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
