country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,region4_lc,region4_en,timezone,utc,latitude,longitude
Kenya,Kenya,KE,20225,,Rift Valley,,Kericho,,Konoin,,Kimulot,Africa/Nairobi,UTC +3.0,-1.2857857,36.8200253
Kenya,Kenya,KE,20320,,Rift Valley,,Nakuru,,Naivasha,,Kinamba,Africa/Nairobi,UTC +3.0,-0.716722,36.4318242
Kenya,Kenya,KE,20202,,Rift Valley,,Kericho,,Kipkelion West,,Kipkelion,Africa/Nairobi,UTC +3.0,-0.2552571,35.4786857
Kenya,Kenya,KE,20133,,Rift Valley,,Nakuru,,Kiptangwanyi,,Kiptangwanyi,Africa/Nairobi,UTC +3.0,-0.2806559,36.0794189
Kenya,Kenya,KE,20213,,Rift Valley,,Kericho,,Belgut,,Kiptere,Africa/Nairobi,UTC +3.0,-0.3624955,35.1717256
Kenya,Kenya,KE,20208,,Rift Valley,,Kericho,,Sigowet,,Kiptugumo,Africa/Nairobi,UTC +3.0,-0.2246245,35.1552357
Kenya,Kenya,KE,20131,,Rift Valley,,Rift Valley,,Rift Valley,,Kirengeti,Africa/Nairobi,UTC +3.0,1.028265,35.94618
Kenya,Kenya,KE,20144,,Rift Valley,,Baringo,,Baringo,,Kisanana,Africa/Nairobi,UTC +3.0,-1.2857857,36.8200253
Kenya,Kenya,KE,20154,,Rift Valley,,Nakuru,,Kuresoi,,Kuresoi,Africa/Nairobi,UTC +3.0,-0.1724141,35.6797784
Kenya,Kenya,KE,20330,,Rift Valley,,Laikipia,,Laikipia West,,Laikipia Campus,Africa/Nairobi,UTC +3.0,0.0153453,37.0786887
Kenya,Kenya,KE,20112,,Rift Valley,,Nakuru,,Bahati,,Lanet,Africa/Nairobi,UTC +3.0,,
Kenya,Kenya,KE,20310,,Rift Valley,,Laikipia,,Nyahururu,,Leshau,Africa/Nairobi,UTC +3.0,-1.2857857,36.8200253
Kenya,Kenya,KE,20210,,Rift Valley,,Kericho,,Bureti,,Litein,Africa/Nairobi,UTC +3.0,-0.5828383,35.1908492
