country_en,country_lc,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,Time Zone ,UTC,Y,X
Saudi Arabia  ,العربية السعودية,SA,22432,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الامير عبدالمجيد,Prince Abdul Majeed,Arabia Standard Time,UTC+3,21.420902,39.2885487
Saudi Arabia  ,العربية السعودية,SA,22433,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الامير عبدالمجيد,Prince Abdul Majeed,Arabia Standard Time,UTC+3,21.4149285,39.264022
Saudi Arabia  ,العربية السعودية,SA,22434,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,السنابل,Al Sanabel,Arabia Standard Time,UTC+3,21.3980141,39.2710411
Saudi Arabia  ,العربية السعودية,SA,22441,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الامير فواز الجنوبى,Al Amir Fawaz Al Janouby,Arabia Standard Time,UTC+3,21.4238282,39.3041607
Saudi Arabia  ,العربية السعودية,SA,22442,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الاجاويد,Al Ajaweed,Arabia Standard Time,UTC+3,21.4077402,39.3011845
Saudi Arabia  ,العربية السعودية,SA,22443,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الاجاويد,Al Ajaweed,Arabia Standard Time,UTC+3,21.3977137,39.3010652
Saudi Arabia  ,العربية السعودية,SA,22444,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,السنابل,Al Sanabel,Arabia Standard Time,UTC+3,21.3897369,39.2762274
Saudi Arabia  ,العربية السعودية,SA,22451,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الشفا,Al Shefaa,Arabia Standard Time,UTC+3,21.4147082,39.3371702
Saudi Arabia  ,العربية السعودية,SA,22452,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الاجاويد,Al Ajaweed,Arabia Standard Time,UTC+3,21.4011123,39.3137723
Saudi Arabia  ,العربية السعودية,SA,22453,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الاجاويد,Al Ajaweed,Arabia Standard Time,UTC+3,21.3975867,39.3111379
Saudi Arabia  ,العربية السعودية,SA,22511,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,المحجر,Al Mahjar,Arabia Standard Time,UTC+3,21.4249087,39.1848655
Saudi Arabia  ,العربية السعودية,SA,22512,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,قاعدة الملك فيصل البحرية,King Faisal Naval Base,Arabia Standard Time,UTC+3,21.4080101,39.1897877
Saudi Arabia  ,العربية السعودية,SA,22513,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,قاعدة الملك فيصل البحرية,King Faisal Naval Base,Arabia Standard Time,UTC+3,21.3587772,39.1941024
Saudi Arabia  ,العربية السعودية,SA,22514,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,قاعدة الملك فيصل البحرية,King Faisal Naval Base,Arabia Standard Time,UTC+3,21.3301918,39.1912718
Saudi Arabia  ,العربية السعودية,SA,22517,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الساحل,Al Sahil,Arabia Standard Time,UTC+3,21.3116678,39.1429138
