postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_en,country_code,timezone,utc
1353,45.9158,14.3631,Borovnica,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1354,46.0236,14.2992,Horjul,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1355,46.0669,14.3161,Polhov Gradec,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1356,46.055,14.4172,Dobrova,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1357,45.9875,14.3989,Notranje Gorice,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1358,46.0167,14.3667,Log pri Brezovici,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1360,45.6922,14.5028,Vrhnika,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1370,45.9144,14.2258,Logatec,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1371,45.9144,14.2258,Logatec,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1372,45.9303,14.1422,Hotedršica,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1373,45.9853,14.1775,Rovte,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1380,45.7931,14.3625,Cerknica,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1381,45.8133,14.3111,Rakek,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1382,45.8181,14.3822,Begunje pri Cerknici,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1384,45.7692,14.4222,Grahovo,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1385,45.7717,14.5058,Nova vas,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1386,45.7148,14.471,Stari trg pri Ložu,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1410,46.1318,14.9969,Zagorje ob Savi,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1411,46.15,14.95,Izlake,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1412,46.1391,14.9629,Kisovec,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1413,46.1792,14.9444,Čemšenik,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1414,46.0714,15.0286,Podkum,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1420,46.155,15.0533,Trbovlje,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1423,46.1131,15.0572,Dobovec,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1430,46.1461,15.0814,Hrastnik,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1431,46.1419,15.1128,Dol pri Hrastniku,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1432,46.0882,15.1728,Zidani Most,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1433,46.0681,15.1839,Radeče,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1434,46.0575,15.2072,Loka pri Zidanem Mostu,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1500,46.0511,14.5051,Ljubljana,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1501,46.0511,14.5051,Ljubljana,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1502,46.0511,14.5051,Ljubljana,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1503,46.0511,14.5051,Ljubljana,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1504,46.0511,14.5051,Ljubljana,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1505,46.0511,14.5051,Ljubljana,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1506,46.0511,14.5051,Ljubljana,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1507,46.0511,14.5051,Ljubljana,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1508,46.0511,14.5051,Ljubljana,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
1509,46.0511,14.5051,Ljubljana,,,,Slovenia,SI,Europe/Ljubljana,UTC+01:00
