postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_en,country_code,timezone,utc
20210,7.2251,80.7352,Marassana,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20212,7.2278,80.7174,Kolabissa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20214,7.2305,80.6995,Godamunna,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20216,7.2278,80.7174,Mahamedagama,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20218,7.2278,80.7174,Bawlana,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20232,7.2928,80.572,Murutalawa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20234,7.2928,80.572,Yahalatenna,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20250,7.3308,80.6461,Polgolla,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20260,7.2574,80.6715,Madawala Bazaar,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20270,7.2574,80.6715,Gunnepana,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20300,7.2547,80.5242,Kadugannawa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20306,7.2103,80.5795,Ketakumbura,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20308,7.2706,80.4832,Balana,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20400,7.2622,80.5841,Peradeniya,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20404,7.2622,80.5841,Uda Peradeniya,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20409,7.2622,80.5841,Megoda Kalugamuwa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20414,7.2333,80.6,Hindagala,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20418,7.1513,80.6419,Nillambe,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20420,7.1979,80.6645,Galaha,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20430,7.1944,80.6917,Deltota,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20438,7.1944,80.6917,Handawalapitiya,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20440,7.107,80.7648,Hewaheta,Central Province,Kandy,Hanguranketha,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20442,7.107,80.7648,Kiribathkumbura,Central Province,Kandy,Hanguranketha,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20450,7.2689,80.5441,Pilimatalawa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20454,7.2373,80.5431,Wattappola,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20465,7.2825,80.5352,Danture,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20470,7.2892,80.5041,Menikdiwela,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20480,7.2333,80.5833,Handessa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20482,7.2333,80.5833,Leemagahakotuwa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20500,7.1643,80.5696,Gampola,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20506,7.0969,80.5128,Udahentenna,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
