postal_code,latitude,longitude,country_name,country_name_en,region_1_lc,region_1_en,region_2_lc,region_2_en,region_3_lc,region_3_en,region_4_lc,region_4_en,region_5_lc,region_5_en,country_en,country_code,timezone,utc
11560,44.4434,20.282,Србија,Serbia,Централна Србија,Central Serbia,Град Београд,Belgrade City,Лазаревац,Lazarevac,,,Вреоци,Vreoci,Serbia,RS,Europe/Belgrade,UTC +1.0
11561,44.2983,20.2631,Србија,Serbia,Централна Србија,Central Serbia,Град Београд,Belgrade City,Лазаревац,Lazarevac,,,Дудовица,Dudovica,Serbia,RS,Europe/Belgrade,UTC +1.0
11562,44.4496,20.3492,Србија,Serbia,Централна Србија,Central Serbia,Град Београд,Belgrade City,Лазаревац,Lazarevac,,,Јунковац,Junkovac,Serbia,RS,Europe/Belgrade,UTC +1.0
11563,44.4722,20.2907,Србија,Serbia,Централна Србија,Central Serbia,Град Београд,Belgrade City,Лазаревац,Lazarevac,,,Велики Црљени,Veliki Crljeni,Serbia,RS,Europe/Belgrade,UTC +1.0
11564,44.5128,20.295,Србија,Serbia,Централна Србија,Central Serbia,Град Београд,Belgrade City,Лазаревац,Lazarevac,,,Степојевац,Stepojevac,Serbia,RS,Europe/Belgrade,UTC +1.0
11565,44.3986,20.3689,Србија,Serbia,Централна Србија,Central Serbia,Град Београд,Belgrade City,Лазаревац,Lazarevac,,,Барошевац,Baroševac,Serbia,RS,Europe/Belgrade,UTC +1.0
11566,44.3736,20.4123,Србија,Serbia,Централна Србија,Central Serbia,Град Београд,Belgrade City,Лазаревац,Lazarevac,,,Рудовци,Rudovci,Serbia,RS,Europe/Belgrade,UTC +1.0
11567,44.4374,20.4176,Србија,Serbia,Централна Србија,Central Serbia,Град Београд,Belgrade City,Лазаревац,Lazarevac,,,Миросаљци,Mirosaljci,Serbia,RS,Europe/Belgrade,UTC +1.0
12000,44.6213,21.1878,Србија,Serbia,Централна Србија,Central Serbia,Браничевски округ,Braničevo District,Пожаревац,Požarevac,,,Пожаревац,Požarevac,Serbia,RS,Europe/Belgrade,UTC +1.0
12206,44.69,21.2282,Србија,Serbia,Централна Србија,Central Serbia,Браничевски округ,Braničevo District,Пожаревац,Požarevac,,,Брадарац,Bradarac,Serbia,RS,Europe/Belgrade,UTC +1.0
12207,44.6964,21.0802,Србија,Serbia,Централна Србија,Central Serbia,Браничевски округ,Braničevo District,Пожаревац,Požarevac,,,Дубравица,Dubravica,Serbia,RS,Europe/Belgrade,UTC +1.0
12208,44.735,21.1956,Србија,Serbia,Централна Србија,Central Serbia,Браничевски округ,Braničevo District,Пожаревац,Požarevac,,,Костолац,Kostolac,Serbia,RS,Europe/Belgrade,UTC +1.0
