country_en,country_lc,country_code,postcode,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,region4_lc,region4_en,utc,timezone
Australia,Australia,AU,2343,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Coomoo Coomoo,Coomoo Coomoo,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2360,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Copeton,Copeton,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2338,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Crawney,Crawney,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2400,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Crooble,Crooble,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2411,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Croppa Creek,Croppa Creek,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2381,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Curlewis,Curlewis,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2342,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Currabubula,Currabubula,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Daruka,Daruka,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2403,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Delungra,Delungra,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2404,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Dinoga,Dinoga,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Duncans Creek,Duncans Creek,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Dungowan,Dungowan,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2344,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Duri,Duri,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2404,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Elcombe,Elcombe,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2380,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Emerald Hill,Emerald Hill,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2390,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Eulah Creek,Eulah Creek,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Garoo,Garoo,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2345,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Garthowen,Garthowen,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2380,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Ghoolendaadi,Ghoolendaadi,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Gidley,Gidley,,,UTC+10:00,Australia – Eastern Standard Time
