country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Jordan,Jordan,JO,11183,,,محافظة العاصمة,Amman,عبدون الجنوبي,Abdoun Al Janobi, Asia/Amma,UTC +3.0 ,31.9410388,35.885213
Jordan,Jordan,JO,11183,,,محافظة العاصمة,Amman,عبدون الشمالي,Abdoun Alshamali, Asia/Amma,UTC +3.0 ,31.9538023,35.8837433
Jordan,Jordan,JO,11183,,,محافظة العاصمة,Amman,زهران,Zahran, Asia/Amma,UTC +3.0 ,31.956222,35.8960632
Jordan,Jordan,JO,11185,,,محافظة العاصمة,Amman,الروابي,Al Rawabi, Asia/Amma,UTC +3.0 ,31.965691,35.855686
Jordan,Jordan,JO,11185,,,محافظة العاصمة,Amman,الديار,Aldeyar, Asia/Amma,UTC +3.0 ,31.943128,35.8624441
Jordan,Jordan,JO,11185,,,محافظة العاصمة,Amman,الصويفية,Sweifiyeh, Asia/Amma,UTC +3.0 ,31.9548429,35.8642572
Jordan,Jordan,JO,11185,,,محافظة العاصمة,Amman,أم اذينة الغربي,Um Uthaynah Algharbi, Asia/Amma,UTC +3.0 ,31.9688096,35.8787543
Jordan,Jordan,JO,11185,,,محافظة العاصمة,Amman,أم اذينة الشرقي,Um Uthaynah Alsharqi, Asia/Amma,UTC +3.0 ,31.9688096,35.8787543
Jordan,Jordan,JO,11190,,,محافظة العاصمة,Amman,العبدلي,Al Abdali, Asia/Amma,UTC +3.0 ,31.9660489,35.916511
Jordan,Jordan,JO,11191,,,محافظة العاصمة,Amman,جبل الويبدة,Jabel Al Webdeh, Asia/Amma,UTC +3.0 ,31.9558443,35.9279374
Jordan,Jordan,JO,11192,,,محافظة العاصمة,Amman,جبل الحسين الغربي,Jabal Al Hussein Al Gharbi, Asia/Amma,UTC +3.0 ,31.9674446,35.9177805
Jordan,Jordan,JO,11193,,,محافظة العاصمة,Amman,مجمع بنك الإسكان,Housing Bank Complex, Asia/Amma,UTC +3.0 ,31.9711431,35.9069785
Jordan,Jordan,JO,11194,,,محافظة العاصمة,Amman,شميساني,Shmeisani, Asia/Amma,UTC +3.0 ,31.970443,35.8996969
Jordan,Jordan,JO,11195,,,محافظة العاصمة,Amman,المدينة الرياضية,Al Madinah Al Riyadiah, Asia/Amma,UTC +3.0 ,31.9453712,35.9283594
Jordan,Jordan,JO,11195,,,محافظة العاصمة,Amman,د. الأمير حسن,D. Al Amir Hasan, Asia/Amma,UTC +3.0 ,31.958796,35.9727803
Jordan,Jordan,JO,11195,,,محافظة العاصمة,Amman,ضاحية الحسين,Dahyet Al-Hussein, Asia/Amma,UTC +3.0 ,31.9694007,35.8810146
Jordan,Jordan,JO,11196,,,محافظة العاصمة,Amman,المدينة الرياضية,Al Madinah Al Riyadiah, Asia/Amma,UTC +3.0 ,31.9453712,35.9283594
Jordan,Jordan,JO,11196,,,محافظة العاصمة,Amman,ضاحية الروضة,Dahyet Al Rawda, Asia/Amma,UTC +3.0 ,31.995131,35.892331
Jordan,Jordan,JO,11511,,,محافظة العاصمة,Amman,سحاب,Sahab, Asia/Amma,UTC +3.0 ,31.8695165,36.0063448
Jordan,Jordan,JO,11512,,,محافظة العاصمة,Amman,مدينة سحاب الصناعية,Sahab Industrial City, Asia/Amma,UTC +3.0 ,31.8504698,36.019645
Jordan,Jordan,JO,11562,,,محافظة العاصمة,Amman,راجم الشامي,Rajem Al Shami, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11591,,,محافظة العاصمة,Amman,الرقيم,Al Raqim, Asia/Amma,UTC +3.0 ,31.8923841,35.9862926
Jordan,Jordan,JO,11592,,,محافظة العاصمة,Amman,أبو علندا,Abu Alanda, Asia/Amma,UTC +3.0 ,31.9028195,35.962599
Jordan,Jordan,JO,11592,,,محافظة العاصمة,Amman,العروبة,Al Ouroubah, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11592,,,محافظة العاصمة,Amman,القويسمة,Al Qweismeh, Asia/Amma,UTC +3.0 ,31.9160349,35.9532195
Jordan,Jordan,JO,11592,,,محافظة العاصمة,Amman,جويدة,Jweideh, Asia/Amma,UTC +3.0 ,31.8872767,35.9415034
Jordan,Jordan,JO,11592,,,محافظة العاصمة,Amman,رقيم,Raqim, Asia/Amma,UTC +3.0 ,31.8923841,35.9862926
Jordan,Jordan,JO,11593,,,محافظة العاصمة,Amman,أم الحيران,Um Al Hiran, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11610,,,محافظة العاصمة,Amman,اليادودة,Al Yadudah, Asia/Amma,UTC +3.0 ,31.8512389,35.9167683
Jordan,Jordan,JO,11610,,,محافظة العاصمة,Amman,غمدان,Ghamdan, Asia/Amma,UTC +3.0 ,31.9796774,35.884954
Jordan,Jordan,JO,11621,,,محافظة العاصمة,Amman,خربة السوق,Khirbet As Soq, Asia/Amma,UTC +3.0 ,31.9522516,35.9288713
Jordan,Jordan,JO,11623,,,محافظة العاصمة,Amman,البنيات الشمالي,Al Bnyat Al Shamali, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11623,,,محافظة العاصمة,Amman,الحرية,Al Horreyya, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11623,,,محافظة العاصمة,Amman,الحسنية,Al Husnyah, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11623,,,محافظة العاصمة,Amman,البنيات الجنوبي,Albnyat Aljanobi, Asia/Amma,UTC +3.0 ,31.8870339,35.8796838
Jordan,Jordan,JO,11623,,,محافظة العاصمة,Amman,الفرقان,Alforqan, Asia/Amma,UTC +3.0 ,31.8805496,35.8950485
Jordan,Jordan,JO,11623,,,محافظة العاصمة,Amman,الياسمين,Alyasmeen, Asia/Amma,UTC +3.0 ,31.9162479,35.8919637
Jordan,Jordan,JO,11623,,,محافظة العاصمة,Amman,مقابلين,Mqabalain, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11623,,,محافظة العاصمة,Amman,أم الكندوم,Um al Kundum, Asia/Amma,UTC +3.0 ,31.873726,35.883263
Jordan,Jordan,JO,11636,,,محافظة العاصمة,Amman,مدينة التجمعات الصناعية,Al Tajamouat Industrial City, Asia/Amma,UTC +3.0 ,31.866515,35.978401
Jordan,Jordan,JO,11652,,,محافظة العاصمة,Amman,اللبن,Al Lubban, Asia/Amma,UTC +3.0 ,31.8239531,35.961683
Jordan,Jordan,JO,11652,,,محافظة العاصمة,Amman,التنيب,At Tunayb, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11710,,,محافظة العاصمة,Amman,الشهيد الجنوبي,Al Shaheed Al Janobi, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11710,,,محافظة العاصمة,Amman,الشهيد الشمالي,Al Shaheed Al Shamali, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11711,,,محافظة العاصمة,Amman,مركز ناعور,Na'ur Center, Asia/Amma,UTC +3.0 ,31.870472,35.8205154
Jordan,Jordan,JO,11731,,,محافظة العاصمة,Amman,إسكان علياء,Alia Housing, Asia/Amma,UTC +3.0 ,31.7227291,35.9864691
Jordan,Jordan,JO,11731,,,محافظة العاصمة,Amman,طبربور,Tabarbour, Asia/Amma,UTC +3.0 ,32.0028488,35.9403639
