postcode,latitude,longitude,region_2_en,region_1_en,country_en,country_code,timezone,utc
1366,59.9088,10.629,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1367,59.8801,10.6108,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1368,59.9095,10.6046,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1369,59.9111,10.6077,Bærum,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1371,59.8337,10.4122,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1372,59.8337,10.4122,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1373,59.8337,10.4122,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1375,59.8741,10.4842,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1376,59.8741,10.4842,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1377,59.8741,10.4842,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1378,59.8601,10.4939,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1379,59.8601,10.4939,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1380,59.7869,10.4442,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1381,59.824,10.4731,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1383,59.8337,10.4122,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1384,59.8445,10.4383,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1385,59.817,10.379,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1386,59.8177,10.4468,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1387,59.8336,10.4572,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1388,59.8207,10.4252,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1389,59.7869,10.4442,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
