postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_name,country_code,timezone,utc
44654,31.1700443,32.2015686,Port Said,Port Said,Qesm El Ganob,El Ganob,Egypt,EG,Africa/Cairo,UTC +2.0
41617,30.395809,32.316313,El Ismailia,Fayed,Markaz Fayed,Abo Soltan,Egypt,EG,Africa/Cairo,UTC +2.0
71711,27.335453,31.624087,Asyut,Asyut,Desert of Asyut Governorate,Desert of Asyut Governorate,Egypt,EG,Africa/Cairo,UTC +2.0
12945,30.041678,31.159078,Giza,Giza,Markaz Kerdasa,Nahia,Egypt,EG,Africa/Cairo,UTC +2.0
45615,29.595913,33.719979,South Sinai,Ras Sedr,Tagamoat Sakania Ras Sedr,,Egypt,EG,Africa/Cairo,UTC +2.0
35732,31.151307,31.806477,El Daqahlia,Meet Selseel,Markaz Meet Selseel,Mit Salsil,Egypt,EG,Africa/Cairo,UTC +2.0
63722,29.379866,30.683501,El Faiyum,Ibsheway,Markaz Ibsheway,Ibsheway,Egypt,EG,Africa/Cairo,UTC +2.0
83911,25.533685,32.87478,Luxor,Luxor,Desert of Luxor Governorate,Desert of Luxor Governorate,Egypt,EG,Africa/Cairo,UTC +2.0
71723,27.06737,31.36721,Asyut,Sahel Selim,Markaz Sahel Selim,El Shamaia,Egypt,EG,Africa/Cairo,UTC +2.0
44671,30.772952,31.671132,Sharqia,Abo Kabir,Markaz Abo Kabir,Nazlet Khaial,Egypt,EG,Africa/Cairo,UTC +2.0
34611,31.276869,31.774771,Domiat,Farskor,Markaz Farskor,Hegaga,Egypt,EG,Africa/Cairo,UTC +2.0
12952,29.617153,31.31437,Giza,El Saf,Markaz El Saf,Arab El Hesar,Egypt,EG,Africa/Cairo,UTC +2.0
45111,30.720825,32.801628,North Sinai,Romanah,Desert of Qesm Romana,,Egypt,EG,Africa/Cairo,UTC +2.0
12556,29.7561417,30.8737269,Giza,Giza,Desert of Giza Governorate,Desert of Giza Governorate,Egypt,EG,Africa/Cairo,UTC +2.0
83724,26.209823,32.924539,Qena,Qena,Desert of Qena Governorate,,Egypt,EG,Africa/Cairo,UTC +2.0
63737,29.201576,30.789552,El Faiyum,Atsa,Markaz Atsa,Atsa,Egypt,EG,Africa/Cairo,UTC +2.0
