postcode,x,y,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
4351,57.4912,27.1944,Mārkalne,Mārkalnes Parish,Alūksnes novads,Latvia,LV,Europe/Riga,UTC +2.0
4352,57.4762,27.4402,Pededze,Pededzes Parish,Alūksnes novads,Latvia,LV,Europe/Riga,UTC +2.0
4335,57.5933,26.9445,Korneti,Veclaicenes Parish,Alūksnes novads,Latvia,LV,Europe/Riga,UTC +2.0
4345,57.359,26.7771,Zeltiņi,Zeltiņu Parish,Alūksnes novads,Latvia,LV,Europe/Riga,UTC +2.0
4332,57.4875,26.9768,Māriņkalns,Ziemera Parish,Alūksnes novads,Latvia,LV,Europe/Riga,UTC +2.0
4332,57.5334,27.0614,Ziemeri,Ziemera Parish,Alūksnes novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1163,27.2589,Centramuiža,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1466,27.3787,Verpuļeva,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1466,27.3787,Lemešava,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1466,27.3787,Salmaņi,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1466,27.3787,Stepjugabali,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1466,27.3787,Vaņki,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1466,27.3787,Žaugupe,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0862,27.2173,Dobenieki,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0862,27.2173,Rāvusala,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0862,27.2173,Pilskalns,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0862,27.2173,Lācupe,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0862,27.2173,Lāčugabali,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0862,27.2173,Keņi,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0862,27.2173,Dzeņulauza,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0862,27.2173,Āžudambis,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0939,27.17,Silamala,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.11,27.2067,Mēķi,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0856,27.2355,Naudaskalns,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.062,27.3037,Ozolsala,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
