postal_code,latitude,longitude,country_el,country_tr,country_en,country_code,Region_1_el,Region_1_tr,region_1_en,Region_2_lc,Region_2_el,Region_2_tr,Region_2_en,Region_3_lc,Region_3_e1,Region_3_tr,Region_3_en,timezone,utc
5561,35.1198,33.717,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Türkmenköy,Τουρκμενκόι,Türkmenköy,Türkmenköy,,,,,Asia/Famagusta,UTC +2.0
5562,35.1334,33.6556,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Vadili,Βαντίλι,Vadili,Vadili,,,,,Asia/Famagusta,UTC +2.0
5563,35.0964,33.794,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Çayönü,Τσαγιονιού,Çayönü,Çayönü,,,,,Asia/Famagusta,UTC +2.0
5564,35.1027,33.7158,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Türkmenköy,Τουρκμενκόι,Türkmenköy,Türkmenköy,,,,,Asia/Famagusta,UTC +2.0
5565,35.1085,33.7507,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Köprülü,Κοπρουλού,Köprülü,Köprülü,,,,,Asia/Famagusta,UTC +2.0
5566,35.074,33.7622,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,İncirli,Ιντσιρλί,İncirli,İncirli,,,,,Asia/Famagusta,UTC +2.0
5567,35.1571,33.7011,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,İnönü,Ινονιού,İnönü,İnönü,,,,,Asia/Famagusta,UTC +2.0
5568,35.1664,33.6392,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Turunçlu,Τουρουντσλού,Turunçlu,Turunçlu,,,,,Asia/Famagusta,UTC +2.0
5600,35.2598,33.7319,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Geçitkale,Γκετσιτκαλέ,Geçitkale,Geçitkale,,,,,Asia/Famagusta,UTC +2.0
5620,35.2305,33.8005,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Yıldırım,Γιλντιρίμ,Yıldırım,Yıldırım,,,,,Asia/Famagusta,UTC +2.0
5621,35.1964,33.8742,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Yeniboğaziçi,Γιενιμπογιαζιτσί,Yeniboğaziçi,Yeniboğaziçi,,,,,Asia/Famagusta,UTC +2.0
5622,35.3206,33.7105,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Arıdamı,Αρινταμί,Arıdamı,Arıdamı,,,,,Asia/Famagusta,UTC +2.0
5623,35.2107,33.8266,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Atlılar,Ατλιλάρ,Atlılar,Atlılar,,,,,Asia/Famagusta,UTC +2.0
5624,35.2305,33.8005,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Yıldırım,Γιλντιρίμ,Yıldırım,Yıldırım,,,,,Asia/Famagusta,UTC +2.0
5625,35.2826,33.6878,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Çamlıca,Τσαμλίτσα,Çamlıca,Çamlıca,,,,,Asia/Famagusta,UTC +2.0
5626,35.2598,33.7863,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Akova,Ακόβα,Akova,Akova,,,,,Asia/Famagusta,UTC +2.0
5627,35.1627,33.8832,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Tuzla,Τούζλα,Tuzla,Tuzla,,,,,Asia/Famagusta,UTC +2.0
5628,35.1996,33.8586,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Mormenekşe,Μορμενέκσε,Mormenekşe,Mormenekşe,,,,,Asia/Famagusta,UTC +2.0
5629,35.2118,33.7769,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Muratağa,Μουραταγά,Muratağa,Muratağa,,,,,Asia/Famagusta,UTC +2.0
5630,35.3326,33.6893,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Mallıdağ,Μαλλιντάγ,Mallıdağ,Mallıdağ,,,,,Asia/Famagusta,UTC +2.0
5631,35.2401,33.7802,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Yıldırım,Γιλντιρίμ,Yıldırım,Yıldırım,,,,,Asia/Famagusta,UTC +2.0
5632,35.225,33.7689,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Alaniçi,Αλανιτσί,Alaniçi,Alaniçi,,,,,Asia/Famagusta,UTC +2.0
5633,35.2178,33.761,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Alaniçi,Αλανιτσί,Alaniçi,Alaniçi,,,,,Asia/Famagusta,UTC +2.0
5634,35.2267,33.7596,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Alaniçi,Αλανιτσί,Alaniçi,Alaniçi,,,,,Asia/Famagusta,UTC +2.0
5635,35.1754,33.7577,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Dörtyol,Ντορτιόλ,Dörtyol,Dörtyol,,,,,Asia/Famagusta,UTC +2.0
5636,35.225,33.7689,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Alaniçi,Αλανιτσί,Alaniçi,Alaniçi,,,,,Asia/Famagusta,UTC +2.0
5637,35.2104,33.8007,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Sandallar,Σαντάλλαρ,Sandallar,Sandallar,,,,,Asia/Famagusta,UTC +2.0
5638,35.1721,33.8337,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Mutluyaka,Μουτλουγιακά,Mutluyaka,Mutluyaka,,,,,Asia/Famagusta,UTC +2.0
5650,35.2229,33.6178,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Ulukışla,Ουλουκισλά,Ulukışla,Ulukışla,,,,,Asia/Famagusta,UTC +2.0
5651,35.3053,33.6046,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Ergenekon,Εργκενεκον,Ergenekon,Ergenekon,,,,,Asia/Famagusta,UTC +2.0
5652,35.2033,33.5878,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Aslanköy,Ασλανκόι,Aslanköy,Aslanköy,,,,,Asia/Famagusta,UTC +2.0
